study_id,title,authors,year,venue,doi_or_url,publication_type,peer_reviewed,formal_corpus_role,transportation_scope,task_stage,learned_component,road_context,agent_types,input_modalities,output_object,risk_sources,shift_construction,shift_realism,shift_detectable,safety_consequence,signal_risk_relation_level,monitoring_horizon,risk_label_source,method_category,uncertainty_output,uncertainty_type,uncertainty_provenance,risk_definition,loss_function,calibration_target,decision_relevance_primary,decision_mechanisms,operational_threshold,feedback_availability,guarantee_target,statistical_guarantee_type,statistical_guarantee_strength,formal_control_guarantee,guarantee_scope,guarantee_violation_tested,under_shift_validity,claim_status,intervention_primary,intervention_secondary,trigger_rule,fallback_policy,intervention_cost,online_latency,transportation_impact,datasets_simulator,predictive_metrics,calibration_metrics,safety_metrics,utility_metrics,boundary_decision
REC-C2C3D9321180,SICNav-Diffusion: Safe and Interactive Crowd Navigation With Diffusion Trajectory Predictions,"Samavi, Sepehr; Lem, Anthony; Sato, Fumiaki; Chen, Sirui; Gu, Qiao; Yano, Keijiro; Schoellig, Angela P.; Shkurti, Florian",2025,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/lra.2025.3585713,Article,yes,contextual,vehicle-pedestrian; mobile-robot-or-general-robotics; road-autonomous-driving,motion-forecasting; planning; control-interface; policy-learning,predictor; policy; uncertainty-estimator,NR:road context not specified,vehicle; pedestrian; robot; heterogeneous,state,trajectory-distribution; safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,generative_or_diffusion; probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"Learned diffusion trajectory samples and KDE weights directly affect receding-horizon crowd-navigation planning, but evaluation is pedestrian robot navigation rather than road autonomous driving.",NR:risk or safety loss not explicitly reported,trajectory; constraint,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,human takeover,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,completion/success; efficiency/travel-time,contextual
REC-C37C35C3648E,A Survey on Trajectory-Prediction Methods for Autonomous Driving,"Huang, Yanjun; Du, Jiatong; Yang, Ziru; Zhou, Zewei; Zhang, Lin; Chen, Hong",2022,IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,10.1109/tiv.2022.3167103,Article,yes,contextual,vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,predictor; policy,intersection,vehicle; cyclist; heterogeneous,trajectory; image; V2X,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,reported,prediction-error; reward-or-cost,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper reviews trajectory prediction methods; the ""signal"" discussed is the predicted future trajectories of traffic participants, not a learned uncertainty/risk/failure signal that is consumed by a planner to change constraints or actions.",reported,trajectory,none,none,NA:no runtime intervention,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,Argoverse; INTERACTION; NGSIM,ADE; FDE; NLL; accuracy/AUROC,Brier/NLL,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-C37C7E064F9E,Risk-aware local traffic safety evaluation for autonomous new energy vehicles based on virtual force modeling,"Li, Huilan; Wan, Yun; Shang, Junning; Xu, Xiangyang",2025,Frontiers in Mechanical Engineering,10.3389/fmech.2025.1658915,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; mobile-robot-or-general-robotics; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,NA:no learned component clearly identified,intersection,vehicle; pedestrian; robot; vessel; heterogeneous,V2X,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,TTC,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal is a hand-designed virtual-force/action-based local traffic safety index D, derived from virtual vehicle-interaction risk forces plus driving and regulatory forces. It quantifies risk in road-driving simulations, but the full text does not implement D or the action value S as an input to a planner or policy that selects braking or lane-change actions; instead, braking rates and lane-change start distances are preset simulation cases, with statements that a vehicle may take such actions after detecting ri",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,monitoring-only,none,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,continuous constraint-or-cost,emergency braking/stop,NR:intervention cost not reported,NR:end-to-end online latency not reported,reported,INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,TTC/min-distance,NR:utility metrics not extracted,contextual
REC-C42F624D3E4E,Anomaly Detection in Autonomous Driving: A Survey,D. Bogdoll; M. Nitsche; J. M. Zöllner,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),10.1109/cvprw56347.2022.00495,IEEE Conferences,yes,contextual,road-autonomous-driving,perception-interface; planning,uncertainty-estimator,highway; urban,vehicle,image; LiDAR; radar,NR:output object not explicit,cross_city_or_domain; weather_or_visibility; long_tail_scenario; sensor_or_perception_error; epistemic_uncertainty,synthetic perturbation; online temporal change,synthetic,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,mc_dropout; generative_or_diffusion; deterministic_confidence,variance; score,epistemic,oracle-injected,"The paper is a survey that catalogues anomaly detection techniques across camera, lidar, radar, multimodal, and abstract object-level data in autonomous driving. Signals reviewed include confidence scores (Bayesian, learned, post-processed), reconstruction errors, generative model outputs, and feature-extraction based scores — all aimed at detecting corner cases, out-of-distribution objects, domain shifts, radar ghost targets, and risky driving scenarios.",reported,NA:no explicit calibration target,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,NA:no runtime intervention,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,nuScenes; CARLA; KITTI; BDD100K; INTERACTION; Shifts,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,completion/success,contextual
REC-C5A09074C86C,Evaluation of a sampling approach for computationally efficient uncertainty quantification in regression learning models,"Freschi, Valerio; Lattanzi, Emanuele",2022,Neural Computing and Applications,10.1007/s00521-022-07455-3,Article,yes,contextual,road-autonomous-driving,planning; control-interface; policy-learning,policy; uncertainty-estimator,NR:road context not specified,vehicle,NR:input modality not reported in extracted evidence,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,empirical-validated,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,interval,unspecified,model-output-score,"The signal is regression predictive uncertainty, represented by conformal/quantile prediction-interval coverage and length. It does not change any autonomous-driving planner, constraint, candidate selection, control, or runtime action: the paper evaluates offline sampling trade-offs for regression models only. Safety/task evaluation consists of offline uncertainty coverage/interval length, regression-error metrics, and training CPU time on protein, drug-discovery, concrete, and wine-quality datasets; autonomous dri",reported,coverage,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,set-coverage,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,accuracy/AUROC,coverage; sharpness/set-size,NR:safety metrics not extracted,efficiency/travel-time; reward/return,contextual
REC-C8A503DEB1A6,Verification of Autonomous Neural Car Control with KeYmaera X,"Prebet, Enguerrand; Teuber, Samuel; Platzer, André",2026,"Rigorous State-Based Methods: 11th International Conference, ABZ 2025, Düsseldorf, Germany, June 10–13, 2025, Proceedings",10.1007/978-3-031-94533-5_17,Conference paper,yes,contextual,general-autonomous-system,risk-monitoring; control-interface; policy-learning,policy,highway,vehicle,NR:input modality not reported in extracted evidence,risk-score,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"A symbolic ModelPlex safety monitor overrides unsafe neural-controller actions and has formal/simulation safety evidence, but it provides no calibrated uncertainty or probabilistic risk estimate.",reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,emergency braking/stop,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,completion/success; reward/return,contextual
REC-C9FCEA73D17B,Deep Learning-Based Vehicle Behavior Prediction for Autonomous Driving Applications: A Review,Sajjad Mozaffari; Omar Y. Al-Jarrah; Mehrdad Dianati; Paul Jennings; Alexandros Mouzakitis,2022,Trans. Intell. Transport. Sys.,10.1109/tits.2020.3012034,Journal Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; motion-forecasting; planning; control-interface,predictor,highway; intersection,vehicle; pedestrian; heterogeneous,image; V2X,action,weather_or_visibility; sensor_or_perception_error,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,reported,prediction-error,mixture_model; probabilistic_model,distribution,unspecified,model-output-score,"This is a review/survey paper that classifies and surveys deep learning-based vehicle behavior prediction methods for autonomous driving. It discusses probabilistic prediction formulations (e.g., GMM, occupancy probabilities) that encode uncertainty (,), and notes that behavior prediction ""supports efficient decision making and enables risk assessment"" (). However, as a review paper, it does not itself implement or evaluate a system where an uncertainty/risk signal is actual",NR:risk or safety loss not explicitly reported,trajectory,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,NA:no runtime intervention,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION; NGSIM,FDE; NLL; accuracy/AUROC,Brier/NLL,NR:safety metrics not extracted,NR:utility metrics not extracted,contextual
REC-CC46E2A132C5,Detecting Adversarial Examples in Learning-Enabled Cyber-Physical Systems using Variational Autoencoder for Regression,"Cai, Feiyang; Li, Jiani; Koutsoukos, Xenofon",2020,"Proceedings - 2020 IEEE Symposium on Security and Privacy Workshops, SPW 2020",10.1109/spw50608.2020.00050,Conference paper,yes,contextual,road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy; uncertainty-estimator,unstructured,vehicle; vessel; heterogeneous,image,warning-or-alarm,weather_or_visibility,synthetic perturbation; adversarial construction,synthetic; adversarial,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,prediction-error,conformal_prediction; generative_or_diffusion; probabilistic_model,distribution; score,unspecified,set-based,"The signal is an adversarial detection alarm produced by a VAE-based regression model with inductive conformal prediction and CUSUM detector, flagging whether a perception LEC input is out-of-distribution/adversarial (PDF_PAGE 1–4, Algorithm 1).",reported,NA:no explicit calibration target,monitoring-only,discrete-trigger,reported,delayed observed outcome,detection-alarm,marginal_finite_sample,G3,none,NR:guarantee scope not explicit,NR:not reported,yes,conditional,monitoring_only,warning_only,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,CARLA,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,NR:utility metrics not extracted,contextual
REC-CD6728B29563,"AI Safety Assurance for Automated Vehicles: A Survey on Research, Standardization, Regulation",L. Ullrich; M. Buchholz; K. Dietmayer; K. Graichen,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3496797,IEEE Journals,yes,contextual,road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface,NA:no learned component clearly identified,NR:road context not specified,vehicle; vessel; heterogeneous,image,NR:output object not explicit,weather_or_visibility,online temporal change,NR:shift realism not stated,yes,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper is a survey that reviews AI safety assurance for automated vehicles across research, standardization, and regulation. It discusses OOD detection for monitoring assumption violations, trajectory prediction architectures using CNNs, RNNs, Transformers, and LLMs, and uncertainty/risk-related topics such as dataset shifts and data quality, but does not present or propose a specific uncertainty/risk/failure signal as a novel component.",NR:risk or safety loss not explicitly reported,trajectory,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,NA:no runtime intervention,NR:end-to-end online latency not reported,reported,Waymo; Shifts,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,NR:utility metrics not extracted,contextual
REC-D1B6AC586E97,"Trajectory prediction for autonomous driving: Progress, limitations, and future directions",Nadya Abdel Madjid; Abdulrahman Ahmad; Murad Mebrahtu; Yousef Babaa; Abdelmoamen Nasser; Sumbal Malik; Bilal Hassan; Naoufel Werghi; Jorge Dias; Majid Khonji,2026,Inf. Fusion,10.1016/j.inffus.2025.103588,Journal Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface,predictor; uncertainty-estimator,highway; urban; intersection,vehicle; pedestrian; cyclist; robot; heterogeneous,trajectory; image; LiDAR; radar,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This paper is a survey/review of trajectory prediction methods for autonomous driving. It does not present a specific learned prediction, planning, or risk component where an uncertainty/risk signal is actually consumed by a planner to change constraints, candidate selection, or action. Section 5 (Uncertainty Estimation and Mitigation, PDF_PAGE 35–38) discusses sources and quantification of uncertainty in trajectory prediction and references existing work that incorporates prediction uncertainty into M",reported,trajectory,none,none,NA:no runtime intervention,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,"reported at PDF p. 16: inference time, e.g., as detection or missed detections. Advanced trackers [208] address partial inference speed of 190 ms",reported,Waymo; INTERACTION; Shifts,ADE; FDE; accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; reward/return,contextual
REC-D25B4223D984,Pedestrian Trajectory Prediction in Pedestrian-Vehicle Mixed Environments: A Systematic Review,"Golchoubian, Mahsa; Ghafurian, Moojan; Dautenhahn, Kerstin; Azad, Nasser Lashgarian",2023,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2023.3291196,Article,yes,contextual,vehicle-pedestrian; road-autonomous-driving,perception-interface; motion-forecasting; planning,predictor,urban; unstructured; mixed,vehicle; pedestrian; robot; heterogeneous,NR:input modality not reported in extracted evidence,NR:output object not explicit,model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,off-road-or-boundary,qualitative-narrative,reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal discussed is the modelled uncertainty of pedestrians' future position trajectories (formalized as RQ4: ""If considered, how is uncertainty of pedestrians' future position modelled in these past models?""), along with pedestrian behavioural diversity (RQ5).",NR:risk or safety loss not explicitly reported,trajectory,none,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,NA:no runtime intervention,NR:end-to-end online latency not reported,reported,nuScenes; Waymo; Argoverse; KITTI; INTERACTION,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,NR:utility metrics not extracted,contextual
REC-D30CBCFFC729,Evaluating Model-Free Reinforcement Learning toward Safety-Critical Tasks,"Zhang, Linrui; Zhang, Qin; Shen, Li; Yuan, Bo; Wang, Xueqian; Tao, Dacheng",2023,Proceedings of the Thirty-Seventh AAAI Conference on Artificial Intelligence and Thirty-Fifth Conference on Innovative Applications of Artificial Intelligence and Thirteenth Symposium on Educational Advances in Artificial Intelligence,10.1609/aaai.v37i12.26786,Conference paper,yes,contextual,mobile-robot-or-general-robotics; road-autonomous-driving,control-interface; policy-learning,policy; uncertainty-estimator,NR:road context not specified,vehicle; robot; vessel; heterogeneous,NR:input modality not reported in extracted evidence,risk-score; safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,constraint-violation,empirical-validated,NR:actionable monitoring horizon not reported,constraint-violation; reward-or-cost,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"A learned safety-cost critic modifies every policy action in the SafeDriving benchmark, but the cost/risk estimate is evaluated by aggregate violation rates rather than statistical calibration.",reported,constraint,constraint-or-cost,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,yes,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,MuJoCo; INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,constraint-violation,efficiency/travel-time; reward/return,contextual
REC-D3285D36BB71,Self-driving cars: A survey,"Badue, Claudine; Guidolini, Rânik; Carneiro, Raphael Vivacqua; Azevedo, Pedro; Cardoso, Vinicius B.; Forechi, Avelino; Jesus, Luan; Berriel, Rodrigo; Paixão, Thiago M.; Mutz, Filipe; de Paula Veronese, Lucas; Oliveira-Santos, Thiago; De Souza, Alberto F.",2021,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2020.113816,Review,yes,contextual,vehicle-pedestrian; mobile-robot-or-general-robotics; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,highway; urban; unstructured,vehicle; pedestrian; robot; heterogeneous,image; LiDAR; radar,warning-or-alarm,model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper is a comprehensive literature survey of self-driving car architectures, perception, and decision-making methods — it does not propose or evaluate a specific uncertainty/risk signal.",reported,NA:no explicit calibration target,none,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,reported at PDF p. 23: real-time control at 200 Hz,reported,INTERACTION; Lyft,NR:predictive metrics not extracted,NA:no calibration metrics,TTC/min-distance,completion/success; efficiency/travel-time; comfort; reward/return,contextual
REC-D6170F946801,Collision Risk Assessment for Intelligent Vehicles Considering Multi-Dimensional Uncertainties,"Gao, Zhenhai; Bao, Mingxi; Cui, Taisong; Shi, Fangyuan; Chen, Xianqing; Wen, Wenhao; Gao, Fei; Zhao, Rui",2024,IEEE ACCESS,10.1109/access.2024.3354383,Article,yes,contextual,vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface,predictor; uncertainty-estimator,urban; intersection,vehicle,state; image; LiDAR,risk-score; action,weather_or_visibility; long_tail_scenario,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,TTC; prediction-error,probabilistic_model,variance; probability,unspecified,model-output-score,"The MDU-CRA method outputs a collision probability (P_coll) computed from multi-dimensional uncertainties — driver behavior (three-tiered model with steering/braking statistics), sensor perception (EKF), motion prediction model (Gaussian distributions with CYRA/CA kinematics), and road structure (truncated Gaussian). This is a probabilistic risk signal, not a learned one. The paper explicitly compares against a learned neural network baseline (PMETP with LSTM), but the proposed method itself is model-",NR:risk or safety loss not explicitly reported,trajectory; collision,constraint-or-cost,discrete-trigger; information-gathering,reported,NR:feedback timing not reported,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,emergency_braking,none,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,reported at PDF p. 11: latency and egress (ADE) as the primary metrics. The Sequence to Sequence timings. (seq2s,NR:transportation-system impact not reported,INTERACTION; NGSIM,ADE; accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,efficiency/travel-time; reward/return,contextual
REC-DADF6AD5D49E,A Risk-Based Decision-Making Process for Autonomous Trains Using POMDP: Case of the Anti-Collision Function,"Chelouati, Mohammed; Boussif, Abderraouf; Beugin, Julie; El-Koursi, El-Miloudi",2024,IEEE ACCESS,10.1109/access.2023.3347500,Article,yes,contextual,road-autonomous-driving,perception-interface; control-interface; policy-learning,policy,NR:road context not specified,vehicle; vessel; heterogeneous,state,risk-score,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,reward-or-cost,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal is a continuously updated collision-risk estimate derived from uncertain/noisy obstacle observations, distance, braking thresholds, and POMDP belief/state information. It is actually consumed by the POMDP decision process: rising perceived risk changes the selected action toward braking, including immediate action a3 at imminent-collision state s4. Safety/task evaluation is provided through controlled train anti-collision simulations, reporting state/action trajectories, rewards/penalties, false positive",reported,collision,constraint-or-cost,cost-or-objective; discrete-trigger; information-gathering,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-DDD66C2F6643,A comprehensive review of machine learning approaches for decision-making in autonomous vehicles collision avoidance systems,"Maidin, Siti Nurhafizza; Wahid, Nurbaiti; Saruchi, Sarah Atifah Binti; Fujita, Sumiya Tamanna; Chowdhury, Alvi Khan",2026,International Journal of Automotive and Mechanical Engineering,10.15282/ijame.23.2.2026.16.1035,Review,yes,contextual,vehicle-pedestrian; vehicle-vehicle; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,highway; urban,vehicle; pedestrian; cyclist; heterogeneous,image; LiDAR; radar,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; off-road-or-boundary,qualitative-narrative,NR:actionable monitoring horizon not reported,collision; reward-or-cost,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This paper is a comprehensive review article (identified as ""REVIEW ARTICLE"" on PDF_PAGE 1) that surveys machine learning approaches—supervised, hybrid, deep, and reinforcement learning—for decision-making tasks in autonomous vehicle collision avoidance. It systematically categorizes methods across perception, behavioural-level decision-making, motion planning, and multi-agent coordination. The review touches on uncertainty handling (e.g., POMDP-based methods for partial observability; uncertainty",reported,collision,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,reported at PDF p. 13: latency • Inference latency = 42.3 ms,reported,INTERACTION; Shifts,accuracy/AUROC,NA:no calibration metrics,collision; TTC/min-distance,completion/success; efficiency/travel-time; comfort; reward/return,contextual
REC-E0276E8AF621,Efficient and Balanced Exploration-Driven Decision Making for Autonomous Racing Using Local Information,Z. Tian; D. Zhao; Z. Lin; W. Zhao; D. Flynn; Y. Jiang; D. Tian; Y. Zhang; Y. Sun,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3432713,IEEE Journals,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,urban,vehicle; vessel; heterogeneous,image; LiDAR; V2X,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,prediction-error; reward-or-cost,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This paper proposes PPO-C, a curiosity-assisted PPO for autonomous racing. The uncertainty/risk signal is the curiosity-driven intrinsic reward (prediction error between encoded and predicted environmental features), used to quantify environmental uncertainty and guide exploration during RL training (Sections IV-A, IV-B, IV-D). This signal is consumed during the training/optimization process (Algorithms 2, 3) to shape the policy, not by the planner at deployment/runtime. At runtime, the trained actor",reported,NA:no explicit calibration target,monitoring-only,cost-or-objective; discrete-trigger,reported,delayed observed outcome,prediction-error,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,uncertainty_conditioned_policy,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,collision,efficiency/travel-time; reward/return,contextual
REC-E096D9479F54,Towards Learning Multi-Agent Negotiations via Self-Play,"Tang, Yichuan",2019,"Proceedings - 2019 International Conference on Computer Vision Workshop, ICCVW 2019",10.1109/iccvw.2019.00297,Conference paper,yes,contextual,traffic-system; road-autonomous-driving,planning; control-interface; policy-learning,planner; policy,intersection,vehicle; cyclist; robot; heterogeneous,NR:input modality not reported in extracted evidence,action,weather_or_visibility; long_tail_scenario,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,not-applicable,NR:actionable monitoring horizon not reported,reward-or-cost,deterministic_confidence,variance,unspecified,model-output-score,信号是道路栅格、邻车运动状态以及训练奖励中的碰撞、越界和车道偏移惩罚；深度PPO策略在运行时直接输出转向、加速度和转向灯动作，但惩罚只用于训练，没有独立的在线风险、不确定性或失效信号触发动作改变；逼真道路几何的合流仿真评价合流成功率、碰撞率和越界率，因此有道路安全与任务验证，但缺少运行时风险信号。,reported,NA:no explicit calibration target,none,none,NA:no runtime intervention,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,NA:no runtime intervention,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,CARLA; INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,collision,completion/success; reward/return,contextual
